V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
2002 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
2003 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
2004 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
2005 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
2006 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
2007 52842 182 13 309 13 28185 64 21 170 78 32 2519 3 44 41 -249 258 -39 109 10 29 6872 7106 6994 
2008 52842 160 13 247 13 29069 65 -1 235 75 33 2062 4 42 38 -264 255 -44 104 7 26 6858 7104 6993 
1951 52856 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1952 52856 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1953 52856 32766 32766 32766 32766 -32766 32766 0 320 72 27 3155 1 58 53 -250 311 -30 32766 -5 35 32766 32766 32766 
1954 52856 32766 32766 32766 32766 29995 68 -3 470 88 27 3054 0 55 51 -278 278 -39 113 -7 33 32766 32766 32766 
1955 52856 32766 32766 32766 32766 31590 71 3 229 82 22 3229 0 55 50 -263 268 -45 111 -13 27 32766 32766 7193 
1956 52856 32766 32766 32766 32766 33220 75 -50 175 69 25 1586 0 45 41 -260 283 -51 117 -11 29 32766 32766 7191 
1957 52856 32766 32766 32766 32766 31771 72 -18 241 74 20 2570 0 51 46 -254 275 32766 110 -13 27 32766 32766 7188 
1958 52856 32766 32766 32766 32766 32900 74 19 212 79 23 3751 0 48 48 -243 273 -40 117 -8 32 32766 32766 7191 
1959 52856 32766 32766 32766 32766 32200 73 3 257 91 20 3226 0 51 48 -279 295 -45 114 -11 29 32766 32766 7188 
1960 52856 32766 32766 32766 32766 30011 68 -9 327 78 22 2848 0 48 46 -249 291 -39 115 -9 31 32766 32766 7162 
1961 52856 32766 32766 32766 32766 29805 67 24 192 104 21 3896 0 54 50 -289 291 -41 107 -14 26 32766 32766 7160 
1962 52856 32766 32766 32766 32766 32222 73 -15 338 75 21 2659 1 49 45 -261 278 -44 109 -14 26 32766 32766 7163 
1963 52856 32766 32766 32766 32766 30869 70 -16 30162 84 24 2628 0 44 45 -262 270 -47 120 -10 30 32766 32766 7165 
1964 52856 32766 32766 32766 32766 29359 66 10 174 105 19 3463 0 54 51 -261 262 -40 110 -13 27 32766 32766 7156 
1965 52856 32766 32766 32766 32766 30122 68 -14 216 86 21 2699 0 48 45 -263 278 -39 112 -11 29 32766 32766 7162 
1966 52856 32766 32766 32766 32766 29643 67 -11 389 82 22 2804 303 48 46 -237 298 -32 117 -6 34 32766 32766 7167 
1967 52856 32766 32766 32766 32766 27988 63 66 433 113 17 5225 308 57 54 -248 288 -33 105 -12 28 32766 32766 7212 
1968 52856 32766 32766 32766 32766 29274 66 -25 194 91 22 2371 304 53 49 -221 263 -34 115 -7 33 32766 32766 7213 
1969 52856 32766 32766 32766 32766 29800 67 -7 234 80 25 2914 304 49 49 -231 296 -30 125 1 41 32766 32766 7210 
1970 52856 150 15 32766 32766 29418 67 -3 286 82 23 3058 309 50 48 -250 290 -39 112 -10 30 32766 32766 7215 
1971 52856 167 14 32766 32766 28262 64 4 210 94 23 3283 306 51 50 -277 297 -25 118 -1 39 32766 32766 7216 
1972 52856 170 902 32766 32766 30119 68 -6 290 73 22 2967 303 46 47 -251 305 -25 122 1 41 32766 32766 7212 
1973 52856 163 14 32766 32766 30394 69 -2 164 79 21 3083 302 46 47 -256 300 -27 122 1 41 32766 32766 7219 
1974 52856 200 13 32766 32766 28282 64 -1 322 106 20 3125 303 54 51 -235 271 -28 112 -5 35 32766 32766 7212 
1975 52856 170 12 32766 32766 28398 64 16 245 88 17 3637 303 53 52 -258 313 -26 114 -4 36 32766 32766 7215 
1976 52856 150 14 32766 32766 28933 65 22 295 86 16 3840 302 50 48 -226 296 -34 111 -10 30 32766 32766 7211 
1977 52856 163 14 32766 32766 28483 64 -30 210 78 16 2206 302 49 46 -220 291 -33 113 -7 33 32766 32766 7221 
1978 52856 173 14 32766 32766 29136 66 4 187 91 14 3255 302 51 49 -235 305 -26 119 -1 39 32766 32766 7225 
1979 52856 183 14 32766 32766 28237 64 -21 229 76 17 2495 303 44 45 -227 274 -28 125 0 40 32766 32766 7225 
1980 52856 160 902 32766 32766 30047 68 -13 273 71 18 2734 0 45 43 -241 274 -29 124 0 40 7049 7327 7223 
1981 52856 160 15 32766 32766 28175 64 13 238 91 15 3565 2 50 53 -239 303 -20 122 2 42 7064 7320 7215 
1982 52856 170 13 32766 32766 27948 63 -11 228 100 14 2812 1 54 49 -240 285 -26 111 -6 34 7083 7336 7216 
1983 52856 147 902 32766 32766 28395 64 31 482 93 14 4105 0 54 49 -252 273 -34 108 -11 29 7075 7337 7223 
1984 52856 187 14 32766 32766 28460 64 -21 210 83 13 2489 1 52 48 -232 281 -28 116 -3 37 7063 7327 7211 
1985 52856 187 14 32766 32766 28964 65 22 212 91 15 3847 0 50 48 -248 295 -27 118 -3 37 7081 7342 7209 
1986 52856 147 13 32766 32766 29421 66 -7 173 89 15 2937 0 50 46 -239 299 -34 115 -7 33 7044 7323 7215 
1987 52856 147 14 32766 32766 29232 66 -3 203 88 17 3058 0 47 47 -229 264 -21 125 3 43 7076 7328 7218 
1988 52856 167 14 32766 32766 28688 65 27 203 108 17 3980 0 51 52 -234 302 -16 121 5 45 7050 7334 7216 
1989 52856 150 14 32766 32766 27772 63 40 348 102 16 4403 2 54 54 -246 269 -17 111 0 40 7062 7352 7215 
1990 52856 153 13 32766 32766 30069 68 -19 217 78 17 2549 1 49 48 -224 283 -22 124 5 45 7087 7370 7217 
1991 52856 207 14 32766 32766 29365 66 -12 273 69 20 2780 0 47 47 -229 286 -22 122 4 44 7062 7315 7213 
1992 52856 200 14 32766 32766 29232 66 11 203 87 19 3503 0 50 49 -216 267 -22 112 -2 38 7089 7354 7215 
1993 52856 220 14 32766 32766 28398 64 26 292 98 23 3975 0 53 51 -233 264 -17 116 2 42 7062 7353 7218 
1994 52856 220 14 32766 32766 29570 67 -8 219 74 23 2900 0 49 50 -203 289 -15 125 7 47 7058 7347 7217 
